अँग्रेज़	ãgrēza
आविष्कार	āviṣkāra
आवेग	āvēga
आवेदन	āvēdana
आवेश	āvēśa
आशंका	āśankā
आशंकाएँ	āśankāē̃
आशंकाएं	āśankāē̃
आशंकाओं	āśankāō̃
आश्चर्य	āścarya
आश्चर्यचकित	āścaryacakita
आश्चर्यजनक	āścaryajanaka
आशय	āśaya
आश्रम	āśrama
आश्रित	āśrita
आश्वस्त	āśvasta
आश्वासन	āśvāsana
आशा	āśā
आशाओं	āśāō̃
आशान्वित	āśānvita
आशावादी	āśāvādī
आशियाना	āśiyānā
आशीर्वाद	āśīrvāda
आशीष	āśīṣa
आशुतोष	āśutōṣa
आस	āsa
आस्ट्रिया	āsṭriyā
आस्ट्रेलियन	āsṭrēliyana
आस्ट्रेलिया	āsṭrēliyā
आस्ट्रेलियाई	āsṭrēliyāī
आस्था	āsthā
आस्थाएँ	āsthāē̃
आसपास	āsapāsa
आसमान	āsamāna
आसरा	āsarā
आसरे	āsarē
आसान	āsāna
आसानी	āsānī
आसार	āsāra
आसिफ़	āsifa
आसियान	āsiyāna
आसीन	āsīna
आहत	āhata
आहवान	āhavāna
आह्वान	āhvāna
आहिस्ता	āhistā
इंकार	inkāra
इंकोरपोरेटेड	inkōrapōrēṭēḍa
इंगरसोल	ingarasōla
इंग्लिश	ingliśa
इंगलैंड	ingalaiṇḍa
इंग्लैंड	inglaiṇḍa
इंग्लैड	inglaiḍa
इंच	iñca
इंजन	iñjana
इंजनों	iñjanō̃
इंज़माम	ĩzamāma
इंजीनियर	iñjīniyara
इंजीनियरों	iñjīniyarō̃
इंजेक्शन	iñjēkśana
इंटर	iṇṭara
इंटरने	iṇṭaranē
इंटरनेट	iṇṭaranēṭa
इंटरनेशनल	iṇṭaranēśanala
इंटरनैशनल	iṇṭaranaiśanala
इंटरमीडिया	iṇṭaramīḍiyā
इंटरव्यू	iṇṭaravyū
इंट्री	iṇṭrī
इंटरेक्टिव	iṇṭarēkṭiva
इंडस्ट्री	iṇḍasṭrī
इंडस्ट्रीज़	iṇḍasṭrīza
इंडिपैंडेंट	iṇḍipaiṇḍēṇṭa
इंडियन	iṇḍiyana
इंडिया	iṇḍiyā
इंडियाना	iṇḍiyānā
इंडीज़	iṇḍīza
इंडेक्स	iṇḍēksa
इंडोनीशिया	iṇḍōnīśiyā
इंडोनेशिया	iṇḍōnēśiyā
इंडोनेशियाई	iṇḍōnēśiyāī
इंतज़ाम	intazāma
इंतज़ामों	intazāmō̃
इंतजार	intajāra
इंतज़ार	intazāra
इंतफ़ादा	intafādā
इंदर	indara
इंद्रजीत	indrajīta
इंद्रासांतो	indrāsāntō
इंद्रिय	indriya
इंदिरा	indirā
इंदौर	indaura
इंफ़ोकॉम	ĩfōkôma
इंफ़ोसिस	ĩfōsisa
इंशाअल्लाह	ĩśāallāha
इंशाल्लाह	ĩśāllāha
इंस्टिंक्ट	ĩsṭinkṭa
इंस्टिट्यूट	ĩsṭiṭyūṭa
इंस्टीट्यूट	ĩsṭīṭyūṭa
इंसान	ĩsāna
इंसानियत	ĩsāniyata
इंसानी	ĩsānī
इंसानों	ĩsānō̃
इंसाफ	ĩsāpha
इंसाफ़	ĩsāfa
इएबेल्ड	iēbēlḍa
इक्कठा	ikkaṭhā
इक्का	ikkā
इकट्ठा	ikaṭṭhā
इकट्ठी	ikaṭṭhī
इकतीस	ikatīsa
इक़बाल	iqabāla
इक्वान	ikvāna
इकाई	ikāī
इकेतोर	ikētōra
इख्लाक	ikhlāka
इख्लास	ikhlāsa
इगतपुरी	igatapurī
इगलेशिया	igalēśiyā
इग्लैंड	iglaiṇḍa
इगेलैंड	igēlaiṇḍa
इच्छा	icchā
इच्छाशक्ति	icchāśakti
इच्छुक	icchuka
इज़	iza
इज़्ज़त	izzata
इज़्ज़्त	izzta
इज़हार	izahāra
इजाज़त	ijāzata
इज़ाफा	izāphā
इज़ीकिएल	izīkiēla
इट	iṭa
इटली	iṭalī
इटावा	iṭāvā
इटिंग	iṭinga
इत्तला	ittalā
इत्तेफ़ाक	ittēfāka
इत्तेफ़ाक़	ittēfāqa
इत्तेफ़ाक़न	ittēfāqana
इतन	itana
इतना	itanā
इतनी	itanī
इतने	itanē
इत्यादि	ityādi
इतरा	itarā
इतहास	itahāsa
इतालवी	itālavī
इतालियन	itāliyana
इतिराजन	itirājana
इतिहास	itihāsa
इतोर	itōra
इथियोपिया	ithiyōpiyā
इदरीस	idarīsa
इधर	idhara
इन	ina
इनका	inakā
इनकार	inakāra
इनकी	inakī
इनके	inakē
इनको	inakō
इन्तज़ाम	intazāma
इनपर	inapara
इन्फ़ोकॉम	infōkôma
इन्फोसिस	inphōsisa
इन्फ़ोसिस	infōsisa
इनमें	inamē̃
इन्स्टिट्यूट	insṭiṭyūṭa
इनसाइड	inasāiḍa
इनसान	inasāna
इन्सान	insāna
इन्सानियत	insāniyata
इनसानी	inasānī
इन्सानी	insānī
इनसानों	inasānō̃
इन्सानों	insānō̃
इन्साफ़	insāfa
इनसे	inasē
इन्ही	inhī
इन्हीं	inhī̃
इन्हे	inhē
इन्हें	inhē̃
इन्होंने	inhōnnē
इनाम	ināma
इनामुल	ināmula
इप्टा	ipṭā
इब्राहिम	ibrāhima
इब्राहीम	ibrāhīma
इबादत	ibādata
इबु	ibu
इम्तिहान	imtihāna
इम्पीरियल	impīriyala
इमरजेंसी	imarajē̃sī
इमर्जेंसी	imarjē̃sī
इमरान	imarāna
इमाम	imāma
इमामगंज	imāmagañja
इमामबाड़े	imāmabāṛē
इमारत	imārata
इमारतें	imāratē̃
इमारतों	imāratō̃
इमें	imē̃
इमेज	imēja
इयन	iyana
इयाद	iyāda
इयान	iyāna
इर्द	irda
इर्दगिर्द	irdagirda
इरफान	iraphāna
इरफ़ान	irafāna
इरविन	iravina
इरशाद	iraśāda
इराक	irāka
इराक़	irāqa
इराक्ली	irāklī
इराक़ियों	irāqiyō̃
इराकी	irākī
इराक़ी	irāqī
इरादा	irādā
इरादे	irādē
इरादों	irādō̃
इरानी	irānī
इरिक्सन	iriksana
इरेक्टस	irēkṭasa
इल्फ़र्ड	ilfarḍa
इल्हाम	ilhāma
इलाक़	ilāqa
इलाक़ा	ilāqā
इलाके	ilākē
इलाक़े	ilāqē
इलाक़ो	ilāqō
इलाकों	ilākō̃
इलाक़ों	ilāqō̃
इलाज	ilāja
इलाज़	ilāza
इलाहाबाद	ilāhābāda
इलाही	ilāhī
इलियास	iliyāsa
इली	ilī
इलेक्ट्रानिक	ilēkṭrānika
इलेक्ट्रिक	ilēkṭrika
इलेक्ट्रॉनिक	ilēkṭrônika
इलेक्ट्रोड्स	ilēkṭrōḍsa
इलेक्ट्रोलाइट	ilēkṭrōlāiṭa
इलेक्टोरल	ilēkṭōrala
इलेवन	ilēvana
इलैक्ट्रॉनिक	ilaikṭrônika
इवान	ivāna
इश्क	iśka
इश्क़	iśqa
इश्तहार	iśtahāra
इश्तिहार	iśtihāra
इशा	iśā
इशारा	iśārā
इशारे	iśārē
इशारों	iśārō̃
इष्टदेव	iṣṭadēva
इस	isa
इसका	isakā
इसकी	isakī
इसके	isakē
इसकें	isakē̃
इसको	isakō
इसतरह	isataraha
इस्तांबूल	istāmbūla
इस्तीफ़ा	istīfā
इस्तीफ़े	istīfē
इस्तेमार	istēmāra
इस्तेमाल	istēmāla
इसने	isanē
इसपर	isapara
इस्पात	ispāta
इस्फ़हान	isfahāna
इस्मत	ismata
इस्माइल	ismāila
इसमे	isamē
इसमें	isamē̃
इसराइल	isarāila
इसराइलियों	isarāiliyō̃
इसराइली	isarāilī
इसरायल	isarāyala
इसरार	isarāra
इसरो	isarō
इस्लाम	islāma
इस्लामाबाद	islāmābāda
इस्लामिक	islāmika
इस्लामिया	islāmiyā
इस्लामी	islāmī
इसलिए	isaliē
इसलिये	isaliyē
इससे	isasē
इसाईयत	isāīyata
इसाक	isāka
इसाक्स	isāksa
इसिग्वे	isigvē
इसी	isī
इसीलिए	isīliē
इसे	isē
ईंधन	īndhana
ईएच	īēca
ईएनटी	īēnaṭī
ईजाद	ījāda
ईटन	īṭana
ईटर्स	īṭarsa
ईद	īda
ईदुज़्ज़ुहा	īduzzuhā
ईनाम	īnāma
ईफिल	īphila
ईबे	ībē
ईमान	īmāna
ईमानदार	īmānadāra
ईमानदारी	īmānadārī
ईमानादार	īmānādāra
ईमानुलहक़	īmānulahaqa
ईमेल	īmēla
ईमेलएड्रेस	īmēlaēḍrēsa
ईमेलों	īmēlō̃
ईयर	īyara
ईयाद	īyāda
ईर्द	īrda
ईर्ष्या	īrṣyā
ईर्षा	īrṣā
ईरान	īrāna
ईरानी	īrānī
ईलम	īlama
ईलाम	īlāma
ईवर्स	īvarsa
ईश्वर	īśvara
ईशा	īśā
ईस्ट	īsṭa
ईस्टवुड	īsṭavuḍa
ईस्वी	īsvī
ईसा	īsā
ईसाई	īsāī
ईसाईयों	īsāīyō̃
उँगलियों	ũgaliyō̃
उँगली	ũgalī
उँची	ũcī
उंगलियों	ungaliyō̃
उंगली	ungalī
उक्ति	ukti
उक्रेन	ukrēna
उकसाया	ukasāyā
उकेरी	ukērī
उकेरे	ukērē
उखड	ukhaḍa
उग	uga
उगने	uganē
उग्रवाद	ugravāda
उग्रवादियों	ugravādiyō̃
उग्रवादी	ugravādī
उगलने	ugalanē
उगलवा	ugalavā
उगाने	ugānē
उच्च	ucca
उच्चतम	uccatama
उच्चवर्गीय	uccavargīya
उच्चस्तरीय	uccastarīya
उच्चायोग	uccāyōga
उच्चारण	uccāraṇa
उचित	ucita
उछले	uchalē
उछाल	uchāla
उछालती	uchālatī
उछालने	uchālanē
उछाला	uchālā
उजड़े	ujaṛē
उजागर	ujāgara
उजाले	ujālē
उठ	uṭha
उठकर	uṭhakara
उठता	uṭhatā
उठती	uṭhatī
उठते	uṭhatē
उठना	uṭhanā
उठनी	uṭhanī
उठने	uṭhanē
उठा	uṭhā
उठाइए	uṭhāiē
उठाई	uṭhāī
उठाए	uṭhāē
उठाएगा	uṭhāēgā
उठाएगी	uṭhāēgī
उठाकर	uṭhākara
उठाता	uṭhātā
उठाती	uṭhātī
उठाते	uṭhātē
उठाना	uṭhānā
उठानी	uṭhānī
उठाने	uṭhānē
उठापटक	uṭhāpaṭaka
उठाया	uṭhāyā
उठाये	uṭhāyē
उठी	uṭhī
उठीं	uṭhī̃
उठे	uṭhē
उठेगा	uṭhēgā
उड़	uṛa
उड़कर	uṛakara
उड़ता	uṛatā
उड़ते	uṛatē
उड़नपरी	uṛanaparī
उड़ने	uṛanē
उड़ा	uṛā
उड़ाए	uṛāē
उड़ाते	uṛātē
उड़ान	uṛāna
उड़ाने	uṛānē
उड़ाया	uṛāyā
उड़ी	uṛī
उड़ीसा	uṛīsā
उड़े	uṛē
उड़ेंगे	uṛēngē
उत्कृष्ट	utkṛṣṭa
उत्कृष्टता	utkṛṣṭatā
उतकों	utakō̃
उत्तम	uttama
उत्तर	uttara
उत्तरदायित्व	uttaradāyitva
उत्तरदायी	uttaradāyī
उत्तरप्रदेश	uttarapradēśa
उत्तराँचल	uttarā̃cala
उत्तरांचल	uttarāñcala
उत्तरादि	uttarādi
उत्तराधिकारी	uttarādhikārī
उत्तरी	uttarī
उत्तेजना	uttējanā
उत्तेजित	uttējita
उत्थान	utthāna
उतना	utanā
उतनी	utanī
उतने	utanē
उत्पन्न	utpanna
उत्पल	utpala
उत्पाद	utpāda
उत्पादक	utpādaka
उत्पादकों	utpādakō̃
उत्पादन	utpādana
उत्पादों	utpādō̃
उतर	utara
उतरता	utaratā
उतरते	utaratē
उतरना	utaranā
उतरने	utaranē
उतरवा	utaravā
उतरवाए	utaravāē
उतरवाने	utaravānē
उतरा	utarā
उतराते	utarātē
उतरी	utarī
